news_outlet,tweet_date,tweet_text,username,compound,positive,negative,neutral,date
@BBCNews,Sat Dec 16 16:30:06 +0000 2017,"Not an easy gig ?? 
https://t.co/PuP6cYIBoc",BBCNews,0.4404,0.367,0.0,0.633,2017-12-16 16:30:06
@BBCNews,Sat Dec 16 16:13:07 +0000 2017,"London cafe offers selfie coffees 
https://t.co/mm1kTQBtWp",BBCNews,0.0,0.0,0.0,1.0,2017-12-16 16:13:07
@BBCNews,Sat Dec 16 15:40:23 +0000 2017,"RT @BBCSport: ""I don't want my daughter's first memories to be of me being a struggling, broken human being.""

Former NFL player Larry John…",BBCNews,-0.7288,0.0,0.263,0.737,2017-12-16 15:40:23
@BBCNews,Sat Dec 16 15:12:04 +0000 2017,"RT @BBCSport: The BBC Sports Personality of the Year 2017 will be crowned tomorrow night.

But what are they key factors in the make-up of…",BBCNews,0.0,0.0,0.0,1.0,2017-12-16 15:12:04
@BBCNews,Sat Dec 16 14:42:13 +0000 2017,"London's Royal Court theatre reverses decision to cancel production of Rita, Sue and Bob Too https://t.co/xJCGAdzSj9",BBCNews,-0.25,0.0,0.118,0.882,2017-12-16 14:42:13
@BBCNews,Sat Dec 16 12:57:25 +0000 2017,The family that doesn't feel pain https://t.co/ZnI4rNXKDP,BBCNews,0.4023,0.311,0.0,0.689,2017-12-16 12:57:25
@BBCNews,Sat Dec 16 12:51:08 +0000 2017,Ofsted chief Amanda Spielman receives 'venomous' threats https://t.co/DmRdtIkMkL,BBCNews,-0.4215,0.0,0.286,0.714,2017-12-16 12:51:08
@BBCNews,Sat Dec 16 12:51:08 +0000 2017,Ofsted chief Amanda Spielman receives 'venomous' threats https://t.co/DmRdtIkMkL,BBCNews,-0.4215,0.0,0.286,0.714,2017-12-16 12:51:08
@BBCNews,Sat Dec 16 12:30:25 +0000 2017,"RT @BBCBusiness: You can’t hide your head in the sand when you’ve got to make decisions about your money…. But to help you, why not take a…",BBCNews,0.25,0.092,0.058,0.85,2017-12-16 12:30:25
@BBCNews,Sat Dec 16 11:53:46 +0000 2017,"Heinz Wolff, Great Egg Race presenter and scientist, dies https://t.co/DRaa7x32Wj",BBCNews,0.6249,0.313,0.0,0.687,2017-12-16 11:53:46
@BBCNews,Sat Dec 16 11:36:39 +0000 2017,RT @BBCRealityCheck: The stats don’t lie. Find out how we knew who was likely to make the @bbcstrictly final. https://t.co/zz87rjIKHB,BBCNews,0.0,0.0,0.0,1.0,2017-12-16 11:36:39
@BBCNews,Sat Dec 16 10:53:37 +0000 2017,This woman is wonderful ?? https://t.co/59EbwP7LIa,BBCNews,0.5719,0.425,0.0,0.575,2017-12-16 10:53:37
@BBCNews,Sat Dec 16 10:52:45 +0000 2017,Tewkesbury homes still without water after pipe burst https://t.co/k8aDTe28op,BBCNews,0.0,0.0,0.0,1.0,2017-12-16 10:52:45
@BBCNews,Sat Dec 16 10:46:55 +0000 2017,Hart in Hampshire 'best place to live in UK' https://t.co/pRSIRiNBxg,BBCNews,0.6369,0.318,0.0,0.682,2017-12-16 10:46:55
@BBCNews,Sat Dec 16 10:33:02 +0000 2017,"Boy, 12, dies after being hit by bus in Brondesbury Park https://t.co/uE9aZUqLep",BBCNews,0.0,0.0,0.0,1.0,2017-12-16 10:33:02
@BBCNews,Sat Dec 16 10:05:14 +0000 2017,Salford fire deaths: Hope siblings are buried 'side-by-side' https://t.co/SJImA9gdxK,BBCNews,0.128,0.236,0.195,0.569,2017-12-16 10:05:14
@BBCNews,Sat Dec 16 10:02:05 +0000 2017,David Cameron to promote UK-China 'golden era' https://t.co/9IJCK7kPUq,BBCNews,0.3818,0.271,0.0,0.729,2017-12-16 10:02:05
@BBCNews,Sat Dec 16 09:40:06 +0000 2017,"RT @BBCNewsbeat: I'm a Celebrity's @iainlee says the word bullying is ""a bit strong"" to describe what happened to him in the jungle. https:…",BBCNews,-0.1531,0.117,0.138,0.745,2017-12-16 09:40:06
@BBCNews,Sat Dec 16 09:39:46 +0000 2017,"RT @BBCWorld: The men say they aren't gay, but they do love each other
https://t.co/85E2FOweuK",BBCNews,0.7783,0.293,0.0,0.707,2017-12-16 09:39:46
@BBCNews,Sat Dec 16 08:14:50 +0000 2017,Iain Lee addresses I'm a Celeb bullying claims https://t.co/NG3K3En7s1,BBCNews,-0.5994,0.0,0.358,0.642,2017-12-16 08:14:50
@BBCNews,Sat Dec 16 08:12:02 +0000 2017,"RT @BBCSport: ? @BBCOne 
? 6.45pm, Sunday
? 2017 #SPOTY

The winner of the Unsung Hero Award will also be announced tomorrow night, find ou…",BBCNews,0.8979,0.365,0.0,0.635,2017-12-16 08:12:02
@BBCNews,Sat Dec 16 08:11:02 +0000 2017,"RT @BBCSport: Floyd Mayweather and Conor McGregor's much-hyped Las Vegas boxing match generated more than £450m.

More: https://t.co/UWsL8w…",BBCNews,0.0,0.0,0.0,1.0,2017-12-16 08:11:02
@BBCNews,Sat Dec 16 07:47:32 +0000 2017,Royal Court U-turn over play axed amid harassment claims https://t.co/Tm1GUYAWUe,BBCNews,-0.5267,0.158,0.382,0.461,2017-12-16 07:47:32
@BBCNews,Sat Dec 16 07:27:49 +0000 2017,Former PM takes on UK-China investment role https://t.co/A1rZUIra7b,BBCNews,0.0,0.0,0.0,1.0,2017-12-16 07:27:49
@BBCNews,Sat Dec 16 03:51:30 +0000 2017,Strictly Come Dancing 2017 champion to be crowned https://t.co/Rnp3Pi5nSI,BBCNews,0.5994,0.328,0.0,0.672,2017-12-16 03:51:30
@BBCNews,Sat Dec 16 03:16:05 +0000 2017,'Stay at home' warning over ice on roads https://t.co/C5nTKIZi86,BBCNews,-0.34,0.0,0.231,0.769,2017-12-16 03:16:05
@BBCNews,Sat Dec 16 03:16:05 +0000 2017,Southend fire crew warned over cling film 'joke' https://t.co/LsAjwF6eDb,BBCNews,-0.5423,0.0,0.391,0.609,2017-12-16 03:16:05
